Target,R² Score,MAE,RMSE,RandomState,Model
THRIPS(ABOVE ETL),0.5286594803662201,1.4363031571153013,3.1437412765397084,101,XGBoost
M.BUG(ABOVE ETL),0.8231593478283892,2.6182681712828098,5.126786107297162,101,XGBoost
MITES(ABOVE ETL),-0.20089304618575476,0.01858710566195768,0.22856683551712215,101,XGBoost
APHIDS(ABOVE ETL),-0.1703943562923249,0.0243587106232249,0.31428108372814645,101,XGBoost
DUSKY COTTON BUG(ABOVE ETL),0.4600597860885426,0.8012517165464179,3.232934110189943,101,XGBoost
W. FLY(BELOW ETL),0.8069731799799983,10.404725603772166,15.190483071085055,101,XGBoost
JASSID(BELOW ETL),0.8383500082178048,9.93436904412739,14.89024950605866,101,XGBoost
THRIPS(BELOW ETL),0.7556744409457499,12.365044563919183,18.7295078012274,101,XGBoost
MITES(BELOW ETL),0.2976325920645837,2.0128257893741295,5.380045500777393,101,XGBoost
APHIDS(BELOW ETL),0.41191670893453025,1.2870370386329328,5.620400019638726,101,XGBoost
DUSKY COTTON BUG(BELOW ETL),0.7859888826664627,8.517983538957699,13.098999909261599,101,XGBoost
SBW(ABOVE ETL),0.09401946649772197,0.035665294956237034,0.26550673570759076,101,XGBoost
PBW(ABOVE ETL),0.8068186542097399,1.6235322347183203,3.3925806400849643,101,XGBoost
ABW(ABOVE ETL),-0.24363214453056936,0.03762002764486891,0.26373777429156137,101,XGBoost
Army Worm(ABOVE ETL),0.4977476948769548,1.2922805225983036,2.5948883837899226,101,XGBoost
SBW(BELOW ETL),0.47761730624481347,0.24245884838510198,1.1120980992036804,101,XGBoost
PBW(BELOW ETL),0.7818004579841477,5.193552822477103,8.607767652964789,101,XGBoost
ABW(BELOW ETL),0.4285897812225269,0.5826440348539538,1.9032412179310707,101,XGBoost
CLCV(%SPOT),0.8152686540163392,3.1228943809659433,6.382679018859272,101,XGBoost
CLCV(%AREA),0.7276715701291991,3.69991084368437,8.110251332676716,101,XGBoost
WILT(%SPOT),0.24565546672664218,0.5337791516222008,2.1860626480930434,101,XGBoost
WILT(%AREA),0.23307951546497585,0.5020919083879523,2.2120425108595794,101,XGBoost
